url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
,308043324.sb3,11,1/4,2/4,0/4,1/4,2/4,2/4,1/4,1/4,1/4,0,1,1,1,None,Default,9,1/3,2/3,0/3,1/3,2/3,2/3,1/3,85
,259523676.sb3,26,4/4,3/4,4/4,2/4,2/4,2/4,4/4,1/4,4/4,4,0,0,0,None,Default,18,3/3,3/3,3/3,2/3,2/3,2/3,3/3,187
,280515947.sb3,25,1/4,3/4,4/4,2/4,2/4,2/4,4/4,4/4,3/4,4,12,8,8,None,Default,16,1/3,3/3,3/3,2/3,2/3,2/3,3/3,438
,303398926.sb3,14,1/4,4/4,0/4,2/4,2/4,1/4,1/4,0/4,3/4,0,0,1,2,None,Default,10,1/3,3/3,0/3,2/3,2/3,1/3,1/3,99
,296728779.sb3,31,4/4,4/4,4/4,2/4,4/4,2/4,4/4,3/4,4/4,0,2,16,1,None,Default,19,3/3,3/3,3/3,2/3,3/3,2/3,3/3,524
,302544029.sb3,25,2/4,3/4,4/4,3/4,4/4,2/4,4/4,0/4,3/4,0,7,3,1,None,Default,19,2/3,3/3,3/3,3/3,3/3,2/3,3/3,76
,296685483.sb3,13,1/4,1/4,1/4,1/4,2/4,2/4,1/4,0/4,4/4,0,1,2,2,None,Default,9,1/3,1/3,1/3,1/3,2/3,2/3,1/3,49
,290775241.sb3,23,4/4,3/4,1/4,1/4,2/4,1/4,4/4,4/4,3/4,0,0,1,0,None,Default,14,3/3,3/3,1/3,1/3,2/3,1/3,3/3,75
,281057021.sb3,17,1/4,4/4,1/4,3/4,1/4,2/4,4/4,0/4,1/4,0,2,6,7,None,Default,14,1/3,3/3,1/3,3/3,1/3,2/3,3/3,72
,281498820.sb3,18,4/4,3/4,0/4,1/4,4/4,1/4,1/4,0/4,4/4,0,0,1,1,None,Default,12,3/3,3/3,0/3,1/3,3/3,1/3,1/3,34
,277373849.sb3,16,1/4,4/4,2/4,2/4,2/4,2/4,1/4,1/4,1/4,0,0,0,1,None,Default,13,1/3,3/3,2/3,2/3,2/3,2/3,1/3,144
,281927669.sb3,28,4/4,4/4,3/4,2/4,3/4,2/4,4/4,3/4,3/4,0,0,0,1,None,Default,19,3/3,3/3,3/3,2/3,3/3,2/3,3/3,259
,277420443.sb3,17,2/4,4/4,0/4,2/4,4/4,1/4,1/4,0/4,3/4,2,0,1,1,None,Default,12,2/3,3/3,0/3,2/3,3/3,1/3,1/3,155
,261202894.sb3,10,1/4,1/4,0/4,1/4,2/4,2/4,1/4,1/4,1/4,2,0,2,2,None,Default,8,1/3,1/3,0/3,1/3,2/3,2/3,1/3,30
,311715700.sb3,8,1/4,1/4,0/4,2/4,1/4,1/4,1/4,0/4,1/4,0,0,3,1,None,Default,7,1/3,1/3,0/3,2/3,1/3,1/3,1/3,140
,301325315.sb3,23,1/4,4/4,0/4,4/4,4/4,1/4,4/4,2/4,3/4,3,0,1,0,None,Default,14,1/3,3/3,0/3,3/3,3/3,1/3,3/3,171
,301453700.sb3,14,1/4,4/4,0/4,3/4,2/4,2/4,1/4,0/4,1/4,0,0,6,3,None,Default,12,1/3,3/3,0/3,3/3,2/3,2/3,1/3,160
,302782636.sb3,11,1/4,1/4,1/4,0/4,4/4,2/4,1/4,0/4,1/4,0,1,0,0,None,Default,9,1/3,1/3,1/3,0/3,3/3,2/3,1/3,24
,262939522.sb3,29,4/4,4/4,2/4,2/4,4/4,3/4,4/4,2/4,4/4,0,0,12,0,None,Default,19,3/3,3/3,2/3,2/3,3/3,3/3,3/3,484
,287337128.sb3,25,1/4,4/4,4/4,3/4,2/4,2/4,4/4,1/4,4/4,0,3,0,0,None,Default,17,1/3,3/3,3/3,3/3,2/3,2/3,3/3,135
,282572352.sb3,11,1/4,2/4,0/4,0/4,2/4,2/4,1/4,0/4,3/4,0,0,0,0,None,Default,8,1/3,2/3,0/3,0/3,2/3,2/3,1/3,32
,285688580.sb3,11,1/4,1/4,0/4,1/4,2/4,2/4,1/4,0/4,3/4,0,0,0,1,None,Default,8,1/3,1/3,0/3,1/3,2/3,2/3,1/3,34
,301721683.sb3,33,4/4,4/4,4/4,4/4,3/4,2/4,4/4,4/4,4/4,0,11,8,1,None,Default,20,3/3,3/3,3/3,3/3,3/3,2/3,3/3,328
,264934183.sb3,12,1/4,1/4,0/4,2/4,2/4,1/4,1/4,0/4,4/4,0,3,0,1,None,Default,8,1/3,1/3,0/3,2/3,2/3,1/3,1/3,143
